Drug,GENE
Dasatinib,LIMK1
Dasatinib,MAP3K4
Dasatinib,PRKCH
Dasatinib,CAMK2A
Dasatinib,CDK4
Dasatinib,MYO3B
Dasatinib,DMPK
Dasatinib,BRSK1
Dasatinib,PRKG1
Dasatinib,DAPK1
Dasatinib,STK17A
Dasatinib,GAK
Dasatinib,CDK2
Dasatinib,PDGFRB
Dasatinib,PRKCZ
Vandetanib,AURKC
Vandetanib,ABL1
Vandetanib,PRKCH
Vandetanib,KDR
Vandetanib,FLT1
Vandetanib,EGFR
Vandetanib,FLT3
Vandetanib,RET
Vandetanib,STK17A
Vandetanib,TEK
Vandetanib,PDGFRB
Vandetanib,FGFR1
Vandetanib,EPHA4
Vandetanib,PHKG1
Vandetanib,EPHA6
Vandetanib,EPHA2
Vandetanib,EPHA5
Vandetanib,EPHB4
Vandetanib,GAK
Vandetanib,HDAC1
Vandetanib,ALK
Vandetanib,DDR1
Vandetanib,FLT4
Vandetanib,FRK
Vandetanib,MAP4K3
Vandetanib,MERTK
Vandetanib,MET
Vandetanib,MKNK1
Vandetanib,MKNK2
Vandetanib,PDGFRA
Vandetanib,SLK
Vandetanib,STK33
Vandetanib,BLK
Vandetanib,CIT
Vandetanib,LYN
Vandetanib,PTK6
Vandetanib,TNNI3K
Vandetanib,MAP3K20
Vandetanib,ABL2
Vandetanib,CSK
Vandetanib,EPHA8
Vandetanib,EPHB1
Vandetanib,EPHB2
Vandetanib,FGFR2
Vandetanib,HCK
Vandetanib,MAP4K4
Vandetanib,RPS6KA6
Vandetanib,SIK1
Vandetanib,SRMS
Vandetanib,TESK1
Vandetanib,YES1
Vandetanib,ERBB4
Vandetanib,MAP2K2
Vandetanib,PLK4
Vandetanib,CDC42BPG
Vandetanib,CDC42BPA
Vandetanib,CDC42BPB
Vandetanib,MAPK6
Vandetanib,FGFR3
Vandetanib,MAP2K1
Vandetanib,TYRO3
Vandetanib,ACVR1
Vandetanib,COQ8A
Vandetanib,COQ8B
Vandetanib,RPS6KA1
Vandetanib,AAK1
Vandetanib,RPS6KA5
Vandetanib,CDK4
Vandetanib,CHEK1
Vandetanib,EIF2AK4
Vandetanib,PIK3CA
Vandetanib,MYO3B
Vandetanib,INSR
Vandetanib,DMPK
Vandetanib,LRRK2
Vandetanib,ROCK2
Vandetanib,PRKD2
Vandetanib,CDK11A
Vandetanib,TYK2
Vandetanib,PHKG2
Vandetanib,EPHA3
Vandetanib,STK10
Vandetanib,MINK1
Vandetanib,IRAK3
Sirolimus,FKBP1A
Sunitinib,PDGFRB
Sunitinib,RPS6KA2
Sunitinib,KDR
Sunitinib,FGFR1
Sunitinib,CLK4
Sunitinib,FLT3
Sunitinib,KCNH2
Sunitinib,ABL1
Sunitinib,DAPK1
Sunitinib,TYK2
Sunitinib,PRKCH
Sunitinib,CAMKK2
Sunitinib,PIK3CA
Sunitinib,EGFR
Sunitinib,TNK2
Sunitinib,RPS6KA3
Sunitinib,LYN
Sunitinib,PHKG1
Sunitinib,FGFR2
Sunitinib,YES1
Sunitinib,EPHA6
Sunitinib,PIM2
Sunitinib,SLK
Sunitinib,PTK2
Sunitinib,MET
Sunitinib,ACHE
Sunitinib,ALK
Sunitinib,AURKA
Sunitinib,AURKB
Sunitinib,AURKC
Sunitinib,BMPR2
Sunitinib,CDK7
Sunitinib,DDR1
Sunitinib,FLT1
Sunitinib,FLT4
Sunitinib,FRK
Sunitinib,P2RY14
Sunitinib,MAP4K1
Sunitinib,MAP4K3
Sunitinib,MERTK
Sunitinib,STK3
Sunitinib,MUSK
Sunitinib,PDGFRA
Sunitinib,RPS6KA4
Sunitinib,RPS6KA5
Sunitinib,STK33
Sunitinib,BLK
Sunitinib,CIT
Sunitinib,ABL2
Sunitinib,ANKK1
Sunitinib,CAMK1
Sunitinib,CAMK4
Sunitinib,CAMKK1
Sunitinib,CLK2
Sunitinib,CSNK1G2
Sunitinib,CSNK1G3
Sunitinib,DAPK3
Sunitinib,MAP3K12
Sunitinib,EPHB1
Sunitinib,GAK
Sunitinib,HCK
Sunitinib,ITK
Sunitinib,LATS1
Sunitinib,MAP4K4
Sunitinib,MYLK2
Sunitinib,MYO3B
Sunitinib,CDK17
Sunitinib,CDK14
Sunitinib,PRKCQ
Sunitinib,PRKD1
Sunitinib,PRKD2
Sunitinib,PRKD3
Sunitinib,EIF2AK2
Sunitinib,SIK1
Sunitinib,TNK1
Sunitinib,STK25
Sunitinib,MAP2K2
Sunitinib,PLK4
Sunitinib,DCLK1
Sunitinib,DCLK2
Sunitinib,DCLK3
Sunitinib,STK17A
Sunitinib,MYLK3
Sunitinib,NUAK2
Sunitinib,AAK1
Sunitinib,NUAK1
Sunitinib,BMP2K
Sunitinib,CHEK1
Sunitinib,CSNK2A1
Sunitinib,CSNK2A2
Sunitinib,FGFR3
Sunitinib,IKBKE
Sunitinib,JAK1
Sunitinib,STK11
Sunitinib,MARK2
Sunitinib,MARK3
Sunitinib,MARK4
Sunitinib,MAP2K1
Sunitinib,MAP3K11
Sunitinib,STK24
Sunitinib,STK26
Sunitinib,MYLK
Sunitinib,NEK7
Sunitinib,PHKG2
Sunitinib,PIP5K1A
Sunitinib,PIP4K2B
Sunitinib,PKN1
Sunitinib,PKN2
Sunitinib,RIOK1
Sunitinib,RIOK3
Sunitinib,RPS6KA6
Sunitinib,SRPK1
Sunitinib,SRPK2
Sunitinib,MYLK4
Sunitinib,TLK2
Sunitinib,TYRO3
Sunitinib,WEE1
Sunitinib,CAMK1D
Sunitinib,CAMK2A
Sunitinib,PIM3
Sunitinib,CAMK1G
Sunitinib,BRSK1
Sunitinib,BRSK2
Sunitinib,PAK4
Sunitinib,PAK6
Sunitinib,PAK5
Sunitinib,TLK1
Sunitinib,DAPK2
Sunitinib,CAMK2B
Sunitinib,INSR
Sunitinib,PRKCA
Sunitinib,MAP3K4
Sunitinib,MAP3K20
Sunitinib,RPS6KA1
Sunitinib,CDK11A
Sunitinib,ULK1
Sunitinib,DMPK
Sunitinib,PRKG1
Sunitinib,ULK2
Sunitinib,STK35
Sunitinib,TNNI3K
Sunitinib,CHUK
Sunitinib,BRAF
Sunitinib,MINK1
Sunitinib,CDC42BPG
Sunitinib,LRRK2
Sunitinib,IRAK3
Sunitinib,STK10
Sunitinib,STK38L
Sunitinib,CLK1
Sunitinib,EPHB4
Sunitinib,EPHA5
Sunitinib,JAK2
Sunitinib,PLK2
Sunitinib,TTK
Sunitinib,RET
Romidepsin,HDAC1
Vincristine sulfate,NR5A1
Everolimus,KCNH2
Axitinib,PRKD2
Axitinib,CAMK2A
Axitinib,PLK4
Axitinib,ABL1
Axitinib,FLT3
Axitinib,PIK3CA
Axitinib,JAK1
Axitinib,BRAF
Axitinib,DMPK
Axitinib,MET
Axitinib,EGFR
Axitinib,MYLK
Axitinib,RET
Axitinib,CDK4
